codigo_mesorregiao;mesorregiao;tipo_atividade;nro_produtores_und_cafe_graos;qtd_produzida_ton_cafe_graos;qtd_vendida_ton_cafe_graos;valor_produzido_curr_x_1000_cafe_graos;valor_vendido_currX1000_cafe_graos
2202;Centro-Norte Piauiense (PI);Produção florestal - florestas plantadas;0;0;0;0;0
2202;Centro-Norte Piauiense (PI);Produção florestal - florestas nativas;0;0;0;0;0
2203;Sudoeste Piauiense (PI);Produção de lavouras temporárias;0;0;0;0;0
2203;Sudoeste Piauiense (PI);Produção de lavouras permanentes;0;0;0;0;0
2203;Sudoeste Piauiense (PI);Produção florestal - florestas plantadas;0;0;0;0;0
2203;Sudoeste Piauiense (PI);Produção florestal - florestas nativas;0;0;0;0;0
2204;Sudeste Piauiense (PI);Produção de lavouras temporárias;0;0;0;0;0
2204;Sudeste Piauiense (PI);Produção de lavouras permanentes;0;0;0;0;0
2204;Sudeste Piauiense (PI);Produção florestal - florestas plantadas;0;0;0;0;0
2204;Sudeste Piauiense (PI);Produção florestal - florestas nativas;0;0;0;0;0
2301;Noroeste Cearense (CE);Produção de lavouras temporárias;2;0;0;0;0
2301;Noroeste Cearense (CE);Produção de lavouras permanentes;2;0;0;0;0
2301;Noroeste Cearense (CE);Produção florestal - florestas plantadas;0;0;0;0;0
2301;Noroeste Cearense (CE);Produção florestal - florestas nativas;0;0;0;0;0
2302;Norte Cearense (CE);Produção de lavouras temporárias;0;0;0;0;0
2302;Norte Cearense (CE);Produção de lavouras permanentes;4;1.74;1.56;11.58;10.18
2302;Norte Cearense (CE);Produção florestal - florestas plantadas;0;0;0;0;0
2302;Norte Cearense (CE);Produção florestal - florestas nativas;0;0;0;0;0
2303;Metropolitana de Fortaleza (CE);Produção de lavouras temporárias;0;0;0;0;0
2303;Metropolitana de Fortaleza (CE);Produção de lavouras permanentes;0;0;0;0;0
2303;Metropolitana de Fortaleza (CE);Produção florestal - florestas plantadas;0;0;0;0;0
2303;Metropolitana de Fortaleza (CE);Produção florestal - florestas nativas;0;0;0;0;0
2304;Sertões Cearenses (CE);Produção de lavouras temporárias;0;0;0;0;0
2304;Sertões Cearenses (CE);Produção de lavouras permanentes;0;0;0;0;0
2304;Sertões Cearenses (CE);Produção florestal - florestas plantadas;0;0;0;0;0
2304;Sertões Cearenses (CE);Produção florestal - florestas nativas;0;0;0;0;0
2305;Jaguaribe (CE);Produção de lavouras temporárias;0;0;0;0;0
2305;Jaguaribe (CE);Produção de lavouras permanentes;0;0;0;0;0
2305;Jaguaribe (CE);Produção florestal - florestas plantadas;0;0;0;0;0
2305;Jaguaribe (CE);Produção florestal - florestas nativas;0;0;0;0;0
2306;Centro-Sul Cearense (CE);Produção de lavouras temporárias;0;0;0;0;0
2306;Centro-Sul Cearense (CE);Produção de lavouras permanentes;0;0;0;0;0
2306;Centro-Sul Cearense (CE);Produção florestal - florestas plantadas;0;0;0;0;0
2306;Centro-Sul Cearense (CE);Produção florestal - florestas nativas;0;0;0;0;0
2307;Sul Cearense (CE);Produção de lavouras temporárias;0;0;0;0;0
2307;Sul Cearense (CE);Produção de lavouras permanentes;0;0;0;0;0
2307;Sul Cearense (CE);Produção florestal - florestas plantadas;0;0;0;0;0
2307;Sul Cearense (CE);Produção florestal - florestas nativas;0;0;0;0;0
2401;Oeste Potiguar (RN);Produção de lavouras temporárias;0;0;0;0;0
2401;Oeste Potiguar (RN);Produção de lavouras permanentes;0;0;0;0;0
2401;Oeste Potiguar (RN);Produção florestal - florestas plantadas;0;0;0;0;0
2401;Oeste Potiguar (RN);Produção florestal - florestas nativas;0;0;0;0;0
2402;Central Potiguar (RN);Produção de lavouras temporárias;0;0;0;0;0
2402;Central Potiguar (RN);Produção de lavouras permanentes;0;0;0;0;0
2402;Central Potiguar (RN);Produção florestal - florestas plantadas;0;0;0;0;0
2402;Central Potiguar (RN);Produção florestal - florestas nativas;0;0;0;0;0
2403;Agreste Potiguar (RN);Produção de lavouras temporárias;0;0;0;0;0
2403;Agreste Potiguar (RN);Produção de lavouras permanentes;0;0;0;0;0
2403;Agreste Potiguar (RN);Produção florestal - florestas plantadas;0;0;0;0;0
2403;Agreste Potiguar (RN);Produção florestal - florestas nativas;0;0;0;0;0
2404;Leste Potiguar (RN);Produção de lavouras temporárias;0;0;0;0;0
2404;Leste Potiguar (RN);Produção de lavouras permanentes;0;0;0;0;0
2404;Leste Potiguar (RN);Produção florestal - florestas plantadas;0;0;0;0;0
2404;Leste Potiguar (RN);Produção florestal - florestas nativas;0;0;0;0;0
2501;Sertão Paraibano (PB);Produção de lavouras temporárias;1;0;0;0;0
2501;Sertão Paraibano (PB);Produção de lavouras permanentes;0;0;0;0;0
2501;Sertão Paraibano (PB);Produção florestal - florestas plantadas;0;0;0;0;0
2501;Sertão Paraibano (PB);Produção florestal - florestas nativas;0;0;0;0;0
2502;Borborema (PB);Produção de lavouras temporárias;0;0;0;0;0
2502;Borborema (PB);Produção de lavouras permanentes;0;0;0;0;0
2502;Borborema (PB);Produção florestal - florestas plantadas;0;0;0;0;0
2502;Borborema (PB);Produção florestal - florestas nativas;0;0;0;0;0
2503;Agreste Paraibano (PB);Produção de lavouras temporárias;0;0;0;0;0
2503;Agreste Paraibano (PB);Produção de lavouras permanentes;0;0;0;0;0
2503;Agreste Paraibano (PB);Produção florestal - florestas plantadas;0;0;0;0;0
2503;Agreste Paraibano (PB);Produção florestal - florestas nativas;0;0;0;0;0
2504;Mata Paraibana (PB);Produção de lavouras temporárias;0;0;0;0;0
2504;Mata Paraibana (PB);Produção de lavouras permanentes;0;0;0;0;0
2504;Mata Paraibana (PB);Produção florestal - florestas plantadas;0;0;0;0;0
2504;Mata Paraibana (PB);Produção florestal - florestas nativas;0;0;0;0;0
2601;Sertão Pernambucano (PE);Produção de lavouras temporárias;0;0;0;0;0
2601;Sertão Pernambucano (PE);Produção de lavouras permanentes;0;0;0;0;0
2601;Sertão Pernambucano (PE);Produção florestal - florestas plantadas;0;0;0;0;0
2601;Sertão Pernambucano (PE);Produção florestal - florestas nativas;0;0;0;0;0
2602;São Francisco Pernambucano (PE);Produção de lavouras temporárias;0;0;0;0;0
2602;São Francisco Pernambucano (PE);Produção de lavouras permanentes;0;0;0;0;0
2602;São Francisco Pernambucano (PE);Produção florestal - florestas plantadas;0;0;0;0;0
2602;São Francisco Pernambucano (PE);Produção florestal - florestas nativas;0;0;0;0;0
2603;Agreste Pernambucano (PE);Produção de lavouras temporárias;0;0;0;0;0
2603;Agreste Pernambucano (PE);Produção de lavouras permanentes;0;0;0;0;0
2603;Agreste Pernambucano (PE);Produção florestal - florestas plantadas;0;0;0;0;0
2603;Agreste Pernambucano (PE);Produção florestal - florestas nativas;0;0;0;0;0
2604;Mata Pernambucana (PE);Produção de lavouras temporárias;0;0;0;0;0
2604;Mata Pernambucana (PE);Produção de lavouras permanentes;0;0;0;0;0
2604;Mata Pernambucana (PE);Produção florestal - florestas plantadas;0;0;0;0;0
2604;Mata Pernambucana (PE);Produção florestal - florestas nativas;0;0;0;0;0
2605;Metropolitana de Recife (PE);Produção de lavouras temporárias;0;0;0;0;0
2605;Metropolitana de Recife (PE);Produção de lavouras permanentes;0;0;0;0;0
2605;Metropolitana de Recife (PE);Produção florestal - florestas plantadas;0;0;0;0;0
2605;Metropolitana de Recife (PE);Produção florestal - florestas nativas;0;0;0;0;0
2701;Sertão Alagoano (AL);Produção de lavouras temporárias;0;0;0;0;0
2701;Sertão Alagoano (AL);Produção de lavouras permanentes;0;0;0;0;0
2701;Sertão Alagoano (AL);Produção florestal - florestas plantadas;0;0;0;0;0
2701;Sertão Alagoano (AL);Produção florestal - florestas nativas;0;0;0;0;0
2702;Agreste Alagoano (AL);Produção de lavouras temporárias;0;0;0;0;0
2702;Agreste Alagoano (AL);Produção de lavouras permanentes;0;0;0;0;0
2702;Agreste Alagoano (AL);Produção florestal - florestas plantadas;0;0;0;0;0
2702;Agreste Alagoano (AL);Produção florestal - florestas nativas;0;0;0;0;0
2703;Leste Alagoano (AL);Produção de lavouras temporárias;0;0;0;0;0
2703;Leste Alagoano (AL);Produção de lavouras permanentes;0;0;0;0;0
2703;Leste Alagoano (AL);Produção florestal - florestas plantadas;0;0;0;0;0
2703;Leste Alagoano (AL);Produção florestal - florestas nativas;0;0;0;0;0
2801;Sertão Sergipano (SE);Produção de lavouras temporárias;0;0;0;0;0
2801;Sertão Sergipano (SE);Produção de lavouras permanentes;0;0;0;0;0
2801;Sertão Sergipano (SE);Produção florestal - florestas plantadas;0;0;0;0;0
2801;Sertão Sergipano (SE);Produção florestal - florestas nativas;0;0;0;0;0
2802;Agreste Sergipano (SE);Produção de lavouras temporárias;0;0;0;0;0
2802;Agreste Sergipano (SE);Produção de lavouras permanentes;0;0;0;0;0
2802;Agreste Sergipano (SE);Produção florestal - florestas plantadas;0;0;0;0;0
2802;Agreste Sergipano (SE);Produção florestal - florestas nativas;0;0;0;0;0
2803;Leste Sergipano (SE);Produção de lavouras temporárias;0;0;0;0;0
2803;Leste Sergipano (SE);Produção de lavouras permanentes;0;0;0;0;0
2803;Leste Sergipano (SE);Produção florestal - florestas plantadas;0;0;0;0;0
2803;Leste Sergipano (SE);Produção florestal - florestas nativas;0;0;0;0;0
2901;Extremo Oeste Baiano (BA);Produção de lavouras temporárias;0;0;0;0;0
2901;Extremo Oeste Baiano (BA);Produção de lavouras permanentes;0;0;0;0;0
2901;Extremo Oeste Baiano (BA);Produção florestal - florestas plantadas;0;0;0;0;0
2901;Extremo Oeste Baiano (BA);Produção florestal - florestas nativas;0;0;0;0;0
2902;Vale São-Franciscano da Bahia (BA);Produção de lavouras temporárias;0;0;0;0;0
2902;Vale São-Franciscano da Bahia (BA);Produção de lavouras permanentes;0;0;0;0;0
2902;Vale São-Franciscano da Bahia (BA);Produção florestal - florestas plantadas;0;0;0;0;0
2902;Vale São-Franciscano da Bahia (BA);Produção florestal - florestas nativas;0;0;0;0;0
2903;Centro Norte Baiano (BA);Produção de lavouras temporárias;2;0;0;0;0
2903;Centro Norte Baiano (BA);Produção de lavouras permanentes;8;5.85;3.9;35.41;22.5
2903;Centro Norte Baiano (BA);Produção florestal - florestas plantadas;0;0;0;0;0
2903;Centro Norte Baiano (BA);Produção florestal - florestas nativas;1;0;0;0;0
2904;Nordeste Baiano (BA);Produção de lavouras temporárias;0;0;0;0;0
2904;Nordeste Baiano (BA);Produção de lavouras permanentes;0;0;0;0;0
2904;Nordeste Baiano (BA);Produção florestal - florestas plantadas;0;0;0;0;0
2904;Nordeste Baiano (BA);Produção florestal - florestas nativas;0;0;0;0;0
2905;Metropolitana de Salvador (BA);Produção de lavouras temporárias;1;0;0;0;0
2905;Metropolitana de Salvador (BA);Produção de lavouras permanentes;0;0;0;0;0
2905;Metropolitana de Salvador (BA);Produção florestal - florestas plantadas;0;0;0;0;0
2905;Metropolitana de Salvador (BA);Produção florestal - florestas nativas;0;0;0;0;0
2906;Centro Sul Baiano (BA);Produção de lavouras temporárias;43;3.17;1.47;22.4;10.1
2906;Centro Sul Baiano (BA);Produção de lavouras permanentes;243;303.98;292.08;2291.6;2205.95
2906;Centro Sul Baiano (BA);Produção florestal - florestas plantadas;0;0;0;0;0
2906;Centro Sul Baiano (BA);Produção florestal - florestas nativas;11;0.63;0.36;6.06;3.23
2907;Sul Baiano (BA);Produção de lavouras temporárias;6;0;0;0;0
2907;Sul Baiano (BA);Produção de lavouras permanentes;14;1344.29;604.08;7706.31;3497.06
2907;Sul Baiano (BA);Produção florestal - florestas plantadas;0;0;0;0;0
2907;Sul Baiano (BA);Produção florestal - florestas nativas;0;0;0;0;0
3101;Noroeste de Minas (MG);Produção de lavouras temporárias;0;0;0;0;0
3101;Noroeste de Minas (MG);Produção de lavouras permanentes;0;0;0;0;0
3101;Noroeste de Minas (MG);Produção florestal - florestas plantadas;0;0;0;0;0
3101;Noroeste de Minas (MG);Produção florestal - florestas nativas;0;0;0;0;0
3102;Norte de Minas (MG);Produção de lavouras temporárias;11;0;0;0;0
3102;Norte de Minas (MG);Produção de lavouras permanentes;0;0;0;0;0
3102;Norte de Minas (MG);Produção florestal - florestas plantadas;0;0;0;0;0
3102;Norte de Minas (MG);Produção florestal - florestas nativas;1;0;0;0;0
3103;Jequitinhonha (MG);Produção de lavouras temporárias;58;2.4;0;23.22;0
3103;Jequitinhonha (MG);Produção de lavouras permanentes;2;0;0;0;0
3103;Jequitinhonha (MG);Produção florestal - florestas plantadas;10;0.37;0;4.71;0
3103;Jequitinhonha (MG);Produção florestal - florestas nativas;12;0.35;0;4.2;0
3104;Vale do Mucuri (MG);Produção de lavouras temporárias;3;0.65;0.55;6.5;5.5
3104;Vale do Mucuri (MG);Produção de lavouras permanentes;4;1.02;0.85;10.22;8.5
3104;Vale do Mucuri (MG);Produção florestal - florestas plantadas;0;0;0;0;0
3104;Vale do Mucuri (MG);Produção florestal - florestas nativas;0;0;0;0;0
3105;Triângulo Mineiro/Alto Paranaíba (MG);Produção de lavouras temporárias;0;0;0;0;0
3105;Triângulo Mineiro/Alto Paranaíba (MG);Produção de lavouras permanentes;3;362.31;362.31;5222.92;5222.92
3105;Triângulo Mineiro/Alto Paranaíba (MG);Produção florestal - florestas plantadas;0;0;0;0;0
3105;Triângulo Mineiro/Alto Paranaíba (MG);Produção florestal - florestas nativas;0;0;0;0;0
3106;Central Mineira (MG);Produção de lavouras temporárias;0;0;0;0;0
3106;Central Mineira (MG);Produção de lavouras permanentes;0;0;0;0;0
3106;Central Mineira (MG);Produção florestal - florestas plantadas;0;0;0;0;0
3106;Central Mineira (MG);Produção florestal - florestas nativas;0;0;0;0;0
3107;Metropolitana de Belo Horizonte (MG);Produção de lavouras temporárias;2;0;0;0;0
3107;Metropolitana de Belo Horizonte (MG);Produção de lavouras permanentes;2;0;0;0;0
3107;Metropolitana de Belo Horizonte (MG);Produção florestal - florestas plantadas;1;0;0;0;0
3107;Metropolitana de Belo Horizonte (MG);Produção florestal - florestas nativas;0;0;0;0;0
3108;Vale do Rio Doce (MG);Produção de lavouras temporárias;86;2.21;0;24.51;0
3108;Vale do Rio Doce (MG);Produção de lavouras permanentes;18;55.99;55.3;780.97;773.95
3108;Vale do Rio Doce (MG);Produção florestal - florestas plantadas;3;0;0;0;0
3108;Vale do Rio Doce (MG);Produção florestal - florestas nativas;11;0;0;0;0
3109;Oeste de Minas (MG);Produção de lavouras temporárias;0;0;0;0;0
3109;Oeste de Minas (MG);Produção de lavouras permanentes;3;0;0;0;0
