"codigo_mesorregiao","mesorregiao","tipo_atividade","nro_produtores_und_cafe_graos","qtd_produzida_ton_cafe_graos","qtd_vendida_ton_cafe_graos","valor_produzido_curr_x_1000_cafe_graos","valor_vendido_currX1000_cafe_graos","produtor_cafe","quartil_producao","classificacao_produtores_tercis"
4101,"Noroeste Paranaense (PR)","Produção florestal - florestas plantadas",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
4102,"Centro Ocidental Paranaense (PR)","Produção de lavouras permanentes",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
4103,"Norte Central Paranaense (PR)","Produção de lavouras temporárias",15,17.75,16.62,120.46,114.48,"Região Produtora","Q2","Número Maior de Produtores"
4103,"Norte Central Paranaense (PR)","Produção de lavouras permanentes",35,231.65,224.16,1543.28,1487.46,"Região Produtora","Q2","Número Maior de Produtores"
4104,"Norte Pioneiro Paranaense (PR)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
4104,"Norte Pioneiro Paranaense (PR)","Produção de lavouras permanentes",9,76.44,76.44,548.34,548.34,"Região Produtora","Q2","Número Maior de Produtores"
4106,"Oeste Paranaense (PR)","Produção de lavouras temporárias",4,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
5004,"Sudoeste de Mato Grosso do Sul (MS)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
5004,"Sudoeste de Mato Grosso do Sul (MS)","Produção de lavouras permanentes",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
5101,"Norte Mato-grossense (MT)","Produção de lavouras permanentes",3,6.06,6.06,37.62,37.62,"Região Produtora","Q2","Número Menor de Produtores"
5102,"Nordeste Mato-grossense (MT)","Produção florestal - florestas nativas",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
5103,"Sudoeste Mato-grossense (MT)","Produção de lavouras permanentes",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
5204,"Leste Goiano (GO)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
5301,"Distrito Federal (DF)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
5301,"Distrito Federal (DF)","Produção de lavouras permanentes",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
